heart_rate,heart_rate_variability,heart_rate_moving_average,acc_variability_sum,hr_var_x_acc_var_sum,hr_var_div_acc_var_sum,level(Int)
95.0,7.560855892207013,88.04444444444445,1.061716922437772,8.027488648869525,7.1212811245729295,0
95.0,7.549760022973863,88.03333333333333,1.0637404607320549,8.030985205254666,7.097303645610876,0
94.0,7.56960212986748,88.06666666666666,1.0656965354704262,8.066898764689332,7.10289547631055,0
94.0,7.589244311094686,88.1,1.0676180647622457,8.102414324418792,7.108509565814724,0
91.0,7.589244311094686,88.1,1.0693984663154659,8.115926226778031,7.096674984482427,0
91.0,7.582620248812595,88.17777777777778,1.0711364002132169,8.12202055749697,7.078976550080584,0
91.0,7.575182885931254,88.25555555555556,1.0727334688260795,8.126152214216987,7.061504549844428,0
91.0,7.5510414656509415,88.35555555555555,1.0742434864680817,8.11165711052592,7.029105849567376,0
91.0,7.525478985257546,88.45555555555555,1.0756670218034854,8.0949095677167,6.996039547856373,0
91.0,7.4984809114929964,88.55555555555556,1.077017932120776,8.075998405343299,6.9621972540004,0
91.0,7.45925260587159,88.66666666666667,1.0782439776885728,8.042894200338836,6.917899456176188,0
91.0,7.418134139213556,88.77777777777777,1.0793976921256656,8.007116869745722,6.87241178039514,0
95.0,7.3999696324915805,88.93333333333334,1.09259112170042,8.08514112131302,6.772800691413326,0
95.0,7.378444835448905,89.08888888888889,1.1269104998394257,8.314846957553355,6.547440424147271,0
95.0,7.353530240045304,89.24444444444444,1.1409064563622,8.389690127922366,6.445283700694402,0
95.0,7.3372903862553045,89.38888888888889,1.1636477722479888,8.53802161230257,6.305367919367657,0
95.0,7.31813201437191,89.53333333333333,1.1835923629924268,8.661685163580977,6.182931230273942,0
91.0,7.275401066206391,89.63333333333334,1.2157799881643117,8.845287022163026,5.984093582799873,0
91.0,7.231019322988839,89.73333333333333,1.2201020406257648,8.822581431783018,5.926520747455481,0
91.0,7.184956193715989,89.83333333333333,1.2213457586942837,8.775315773599248,5.882770963799457,0
91.0,7.108961129417947,89.95555555555555,1.2215067393786658,8.683643929564994,5.819781997448497,0
88.0,7.032686304263971,90.04444444444445,1.221531680433516,8.590649119209342,5.757221728011871,0
88.0,6.954426284304118,90.13333333333334,1.2214974698597165,8.49481411060339,5.6933145771943545,0
88.0,6.874113267068644,90.22222222222223,1.2236205916116296,8.411306542655886,5.6178010865312125,0
91.0,6.787564821402726,90.34444444444445,1.2237224639433284,8.306095547422002,5.546608447021685,0
91.0,6.69764338900571,90.46666666666667,1.223744098596191,8.196201571797529,5.473030404301648,0
91.0,6.60421119386209,90.58888888888889,1.2236900599488008,8.081507591731642,5.396919890760166,0
91.0,6.507117010264082,90.71111111111111,1.2235164890877241,7.9615649584813175,5.318329491269016,0
91.0,6.406194333822255,90.83333333333333,1.223276751540505,7.8365485944152775,5.236870525863891,0
96.0,6.323657106532461,91.0111111111111,1.2228991972861754,7.733195199491565,5.170994805309857,0
96.0,6.234904366501981,91.18888888888888,1.222831209930435,7.62423565029017,5.098703180649818,0
96.0,6.139666572215242,91.36666666666666,1.2257988672424416,7.525996329467728,5.008665491241657,0
100.0,6.085337774537414,91.58888888888889,1.2338038361610446,7.508113090559975,4.932136110153914,0
100.0,5.999209269576658,91.82222222222222,1.2722407579947768,7.632438548495498,4.7154299039539564,0
90.0,5.8451191798983615,91.94444444444444,1.280105595377937,7.482369767838791,4.566087001051391,0
90.0,5.787422325917348,92.0111111111111,1.280439780125659,7.410445770491939,4.519835463870663,0
90.0,5.728359919365444,92.07777777777778,1.2802427637589189,7.333691334974234,4.474397620159434,0
90.0,5.667889271061446,92.14444444444445,1.279675646378661,7.2530598665482335,4.429126236666648,0
90.0,5.605964809753044,92.21111111111111,1.2949187654856011,7.259269030801135,4.32916849109518,0
96.0,5.4907026172395295,92.37777777777778,1.2776549513888165,7.015223385519619,4.297451073750719,0
96.0,5.367737813870166,92.54444444444445,1.2805022555563212,6.873400377895704,4.191867583132299,0
96.0,5.236527806730469,92.71111111111111,1.27486484893027,6.675865231246598,4.107483813900923,0
101.0,5.1577366345143085,92.93333333333334,1.287509805842415,6.640636492889828,4.005947412311563,0
101.0,5.067878822081841,93.15555555555555,1.2711747191524494,6.44215943835853,3.986736739142681,0
103.0,5.005165870703808,93.4,1.2875015795970075,6.444158964676184,3.8874725090009905,0
103.0,5.072754080137616,93.44444444444444,1.2638234111288928,6.411065365377532,4.01378380684404,0
103.0,5.139064848355708,93.4888888888889,1.2640209263302031,6.4958855100895665,4.065616387469011,0
